time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours ,windspeed_10m_max,et0_fao_evapotranspiration
01-01-2010,1,23.3,15.9,19.3,22.7,15.2,18.1,0,0,0,16.5,3.72
02-01-2010,0,23.9,14.8,19,24.8,13.5,18.6,0,0,0,16.3,3.32
03-01-2010,0,24.1,14.9,19.2,25.5,14.9,19.7,0,0,0,11.4,3.04
04-01-2010,2,23.2,15.2,18.8,24.8,15,19.4,0,0,0,10.7,2.85
05-01-2010,1,24.3,15.7,19.6,24.5,15,19.4,0,0,0,14.9,3.31
06-01-2010,0,23.7,15.3,19.2,24.1,14.6,18.9,0,0,0,13.5,3.31
07-01-2010,0,25.4,15.3,19.8,27.4,14.8,20.4,0,0,0,12.2,3.17
08-01-2010,2,26,16,20.4,28.7,16.3,21.7,0,0,0,10.1,3.06
09-01-2010,2,25.3,18,20.8,27.1,18.3,21.5,0,0,0,10.2,3.07
10-01-2010,1,24.8,16,20.1,25.6,15.7,20.2,0,0,0,11.9,3.39
11-01-2010,0,24.5,16.3,20.1,25.1,15.8,19.9,0,0,0,12.5,3.51
12-01-2010,0,22.8,14.7,18.8,22.1,14.2,18,0,0,0,12.4,3.54
13-01-2010,1,23.6,14.7,19,23.5,13.9,18.4,0,0,0,14.3,3.5
14-01-2010,3,22.5,17.5,19.6,23.1,17.2,19.7,0,0,0,15.3,2.03
15-01-2010,0,27.2,17.2,21.4,28,16.8,21.2,0,0,0,17.1,4.01
16-01-2010,1,24.6,16.1,20.1,25.7,16,20.2,0,0,0,14.7,3.48
17-01-2010,0,25,16.4,20.2,27.4,16.5,21.2,0,0,0,11.8,3.25
18-01-2010,2,24.2,16,19.7,27.5,16.7,21.4,0,0,0,9.9,2.93
19-01-2010,3,23.9,16.3,19.6,26.1,17.4,21.1,0,0,0,9.8,2.9
20-01-2010,0,25.6,15.4,20.4,27.6,15.7,21.2,0,0,0,12.4,3.35
21-01-2010,0,26.3,16.6,20.9,28.4,16.5,21.5,0,0,0,13.4,3.58
22-01-2010,0,26.2,16.7,20.9,28.5,17.2,21.8,0,0,0,12.2,3.6
23-01-2010,0,26.4,16.3,20.9,28.5,16.4,21.6,0,0,0,11.4,3.66
24-01-2010,0,26.6,16.2,20.9,29.1,16.6,21.7,0,0,0,11.1,3.71
25-01-2010,2,25.7,14.7,19.9,28.2,15.3,21.2,0,0,0,9.5,3.4
26-01-2010,2,25.4,18,20.9,27.8,18.5,22.6,0,0,0,9.4,3.47
27-01-2010,0,26.8,16.2,21.1,27.4,16.3,21.2,0,0,0,14.3,4.01
28-01-2010,1,26.2,16.7,21.1,26.9,16.2,20.7,0,0,0,14.9,4.27
29-01-2010,1,26.5,16.6,21.1,27.2,16,20.6,0,0,0,13.8,4.28
30-01-2010,0,25.5,16.2,20.5,26.5,15.9,20.4,0,0,0,11.2,3.94
31-01-2010,0,25.9,16.2,20.8,26.2,15.6,20.4,0,0,0,12.4,4.19
01-02-2010,1,25.7,16.1,20.8,25.5,15.5,20.1,0,0,0,13,4.27
02-02-2010,1,26.5,16.1,21.1,25.1,15.5,20,0,0,0,12.7,4.53
03-02-2010,0,26.7,16.4,21.2,26.8,15.5,20.7,0,0,0,11.2,4.35
