time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,et0_fao_evapotranspiration
01-01-2010,0,22.8,12.3,17.3,21.8,11.3,16,0,0,0,11.5,3.2
02-01-2010,1,24.5,12.1,17.9,24.4,11.1,17.2,0,0,0,11,3.17
03-01-2010,0,24.8,12.3,18,25.2,11.5,17.9,0,0,0,8.4,3.05
04-01-2010,1,23.1,12.2,17.5,23.6,11.5,17.3,0,0,0,9.4,2.9
05-01-2010,1,23.7,12.2,17.8,24,11.6,17.5,0,0,0,9.9,3.04
06-01-2010,0,23.4,12.5,17.6,23.9,11.9,17.3,0,0,0,9.4,2.94
07-01-2010,0,24.9,12.1,18.1,26.4,11.5,18.4,0,0,0,7.6,2.98
08-01-2010,0,25.7,12.5,18.8,27.3,12.1,19,0,0,0,9.4,3.18
09-01-2010,0,25,13,18.7,25.5,12.7,18.8,0,0,0,9,3.15
10-01-2010,0,24.3,12.7,18.4,24.3,12.4,18.2,0,0,0,9.4,3.18
11-01-2010,1,23.2,12.2,17.4,22.4,11.5,16.6,0,0,0,11.3,3.19
12-01-2010,1,21.8,10.7,16.2,21.3,9.8,15.5,0,0,0,9.6,2.99
13-01-2010,51,22.9,11,17.3,22.8,10.2,17,0.5,0.5,2,9.1,2.88
14-01-2010,2,24.6,15.2,19.4,24.7,15.4,19.9,0,0,0,8.4,2.8
15-01-2010,0,26,14.7,19.7,26.8,14.4,19.8,0,0,0,10.7,3.3
16-01-2010,1,24.7,13.8,18.7,25.5,13.6,18.9,0,0,0,9.4,3.15
17-01-2010,0,24.9,13.3,18.9,26.4,13,19.4,0,0,0,8.6,3.11
18-01-2010,2,25.3,14,19.4,27.6,14.1,20.1,0,0,0,8.2,2.93
19-01-2010,2,24.6,14.8,19.2,26.1,15.1,19.7,0,0,0,8.5,2.78
20-01-2010,1,25.2,14.2,19.3,25.7,14,19.5,0,0,0,10,3.23
21-01-2010,0,26.3,14.2,19.7,27.5,14,20.2,0,0,0,8.9,3.34
22-01-2010,0,25.9,14.1,19.6,27.4,13.8,20.1,0,0,0,9.3,3.35
23-01-2010,0,26,13.6,19.6,27.4,13.6,20,0,0,0,10,3.4
24-01-2010,0,26.2,13,19.6,27.9,12.6,20.1,0,0,0,10,3.37
25-01-2010,1,26.8,14.4,20.2,28.5,14.7,20.7,0,0,0,9.8,3.5
26-01-2010,0,26.8,14.5,20.5,27.5,14.8,20.9,0,0,0,10.2,3.66
27-01-2010,0,26.8,13.8,20.1,27.8,13.4,20.1,0,0,0,9.4,3.67
28-01-2010,1,26.6,12.9,19.8,26.5,12.1,19.4,0,0,0,9.7,3.79
29-01-2010,0,26.6,13.3,19.8,26.8,12.9,19.4,0,0,0,9.7,3.82
30-01-2010,0,26.1,13.2,19.7,26.6,12.5,19.2,0,0,0,11,3.85
31-01-2010,0,26.3,15.6,20.5,26.1,15.3,20.1,0,0,0,10.5,3.9
01-02-2010,1,26.7,13.2,19.7,25.9,12.4,18.6,0,0,0,11.4,4.18
02-02-2010,1,26.8,13.6,20.1,27,12.9,19.8,0,0,0,8.5,3.79
03-02-2010,0,27.1,14.3,20.5,26.4,14,19.9,0,0,0,11.9,4.12
04-02-2010,0,26.1,12.5,19.2,25.7,10.9,18,0,0,0,10.7,4.09
05-02-2010,0,26.1,13.1,19.5,25,11.8,18.4,0,0,0,11.2,4.18
06-02-2010,0,26.3,13.3,19.8,25.8,12,18.9,0,0,0,10.8,4.06
07-02-2010,0,27,13.6,20.4,27.1,12.4,19.9,0,0,0,10.4,4.09
08-02-2010,1,27.2,15.7,21.2,28.3,16,21.8,0,0,0,10.2,3.75
09-02-2010,1,27.2,15.1,22,28.7,15.5,23,0,0,0,7.9,3.14
10-02-2010,1,29.1,16.1,23.1,31.3,16.9,24.5,0,0,0,7.4,3.8
11-02-2010,1,29.7,18.5,23.7,31.7,20.1,25.2,0,0,0,7.7,3.91
12-02-2010,1,29.7,16.7,23.2,30.7,17.3,23.9,0,0,0,11.4,4.25
13-02-2010,1,28.6,17.8,22.9,29.8,17.8,23.6,0,0,0,9.6,4.18
14-02-2010,0,28.8,18.2,23.4,30.5,19.5,24.9,0,0,0,9.1,3.99
15-02-2010,0,28.8,17.8,23.4,29.4,18.2,23.9,0,0,0,8.4,4.11
16-02-2010,51,29.7,18.3,23.7,31.9,19,25.1,0.3,0.3,1,8.9,3.64
17-02-2010,51,29.4,20.9,24.7,31.7,23.4,27,0.5,0.5,2,12.1,3.59
18-02-2010,1,28.2,20.3,23.7,26,19.1,23.1,0,0,0,15.6,5.09
19-02-2010,1,28.2,14.7,22.5,28.3,14.8,22.4,0,0,0,9.4,4.38
20-02-2010,1,29.3,17.4,22.9,29.6,18.1,23.1,0,0,0,13,4.67
21-02-2010,0,29,16.9,22.5,29.2,16.7,22.3,0,0,0,10.4,4.72
22-02-2010,1,29.1,17.4,23,29.7,17.6,23.1,0,0,0,10.8,4.56
23-02-2010,1,29.2,18.2,23.5,29.9,18.5,23.8,0,0,0,11.5,4.3
