time,weathercode ,temperature_2m_max ,temperature_2m_min ,temperature_2m_mean,apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean,precipitation_sum ,rain_sum ,precipitation_hours,windspeed_10m_max ,et0_fao_evapotranspiration
01-10-2010,51,32.2,24.8,28.4,39,30.5,34.5,0.9,0.9,4,6,3.81
02-10-2010,51,32.8,25.6,29.1,39.3,31.9,35.6,0.7,0.7,5,6.1,3.82
03-10-2010,51,32.9,25.8,29.4,39.8,31.9,35.8,0.4,0.4,2,6.6,4.04
04-10-2010,51,32.8,25.7,29.1,39.8,31.6,35.5,0.4,0.4,1,8.3,4.11
05-10-2010,53,33.1,25.9,28.7,41,32.2,35.4,2.8,2.8,8,6.9,3.78
06-10-2010,61,28.8,24.9,26.3,33.9,29.2,31.5,8.9,8.9,15,14.1,1.46
07-10-2010,63,25.2,23.2,24,29,26.7,27.4,35.2,35.2,20,15.6,0.73
08-10-2010,65,24,23.2,23.6,27.7,25.9,26.9,70.5,70.5,18,21.4,0.55
09-10-2010,2,29.8,21.3,25.3,33.8,24.5,29,0,0,0,12.6,3.78
10-10-2010,1,31.3,22.2,26.6,36.8,26.1,31,0,0,0,8.7,3.97
11-10-2010,51,31.3,22.3,27,37.8,26.2,32.2,0.4,0.4,1,7.2,3.75
12-10-2010,51,31.4,22.9,27.1,36.1,27.4,31.8,0.4,0.4,2,11.9,3.99
13-10-2010,51,29,24.9,26.8,34,28.7,31.6,0.2,0.2,1,9.7,1.91
14-10-2010,63,31.2,24.6,26.9,37.7,29.1,32.4,8.1,8.1,5,6.7,2.51
15-10-2010,63,31.6,25.1,27.3,37.7,30.3,32.8,10.2,10.2,8,12.6,3.22
16-10-2010,63,30.2,24.9,26.7,35.2,29.3,31.4,10.3,10.3,9,16.3,2.72
17-10-2010,51,30.3,24.6,26.7,35.9,30,32.1,0.6,0.6,2,9.7,2.98
18-10-2010,1,31.5,23.9,27.6,37.3,28.7,33,0,0,0,7.3,3.57
19-10-2010,1,32.2,24.5,28,37.9,29.4,33.5,0,0,0,8.4,3.94
20-10-2010,53,32.2,25,28,38.8,30.1,33.9,1.5,1.5,5,9.7,3.56
21-10-2010,61,31.4,24.3,27.5,37.7,30,33.4,5.2,5.2,4,7.6,3.4
22-10-2010,61,28.6,23.8,25.6,34.2,28.8,30.8,11,11,11,8.2,1.8
23-10-2010,3,29.9,23.5,26.3,34.4,28.2,31.2,0,0,0,9.1,2.99
24-10-2010,1,30.5,23.1,26.8,35.7,27.5,31.4,0,0,0,7.8,3.58
25-10-2010,3,30.6,23.4,26.9,35.6,27,31.5,0,0,0,7.2,3.22
26-10-2010,2,30.5,21.6,25.9,33.6,24.4,29,0,0,0,7.9,3.54
27-10-2010,1,30,21.6,25.4,33.6,24.8,28.7,0,0,0,8.2,3.73
28-10-2010,0,29.4,21.4,25.1,32.4,23.9,27.7,0,0,0,7.5,3.89
29-10-2010,1,29.3,20.1,24.5,32.2,21.9,27,0,0,0,8.7,3.77
30-10-2010,1,29.7,19.6,24.3,33.2,21.7,27.3,0,0,0,11.4,3.55
31-10-2010,2,29.7,20.4,25.1,33.5,23.5,28.5,0,0,0,8.1,3.37
01-11-2010,53,25.8,19.7,23.4,27.6,20.8,25.3,2.5,2.5,9,15.4,1.92
02-11-2010,55,23.5,19.4,21.1,25.8,20.8,23.3,4.8,4.8,9,8.9,1.48
03-11-2010,3,27.9,19.4,23.2,30.8,21.4,25.6,0,0,0,9,2.92
04-11-2010,1,28.7,19.1,23.8,31.1,21.3,26.4,0,0,0,11.1,3.31
05-11-2010,1,29.9,19.6,24.6,33.2,21.9,27.6,0,0,0,8.7,3.5
06-11-2010,1,29.9,20.3,25.2,34.9,23.2,29,0,0,0,7.7,3.27
07-11-2010,1,30.4,21,25.5,34.6,24,29.2,0,0,0,8.3,3.28
08-11-2010,3,30.2,20.5,25,34.6,23.4,28.5,0,0,0,7.6,3.35
09-11-2010,1,29.9,19.9,24.9,32.9,22.2,27.8,0,0,0,10.1,3.51
10-11-2010,1,29.7,19.9,24.4,32.2,22.5,27.1,0,0,0,10.2,3.56
11-11-2010,1,29.4,20,24.8,32.6,22.5,27.6,0,0,0,7.5,3.35
12-11-2010,1,28.3,21,24.6,31.3,23.6,27.5,0,0,0,7.8,2.93
13-11-2010,51,28.4,20.1,23.9,31.9,22.8,26.9,0.3,0.3,3,8.2,2.98
14-11-2010,51,28.5,20.2,24.3,31.9,23,27.5,0.1,0.1,1,8.6,2.85
15-11-2010,1,28.9,20.2,24.6,32.8,22.9,27.8,0,0,0,7.1,3.05
16-11-2010,51,28.1,20.8,24,30.8,23.5,27.1,0.4,0.4,3,7.2,2.49
17-11-2010,1,29.5,20.6,24.8,32.7,23.1,27.6,0,0,0,7.9,3.24
18-11-2010,1,29.2,20.3,24.7,32.4,22.7,27.5,0,0,0,6.6,2.86
19-11-2010,61,28.7,22.1,24.5,33,25.1,28.1,2,2,2,10.2,2.57
20-11-2010,51,28.7,21.5,24.5,30.6,24.4,27.2,0.3,0.3,2,13.7,3.12
21-11-2010,0,27,17.9,22.1,26.9,17.9,22.7,0,0,0,9.4,3.26
22-11-2010,0,26.9,17.5,21.5,27.4,17.3,21.8,0,0,0,9.8,3.54
23-11-2010,0,26.9,16,21.2,28,16.3,22,0,0,0,8.8,3.26
24-11-2010,0,27.8,18.8,23,29.7,20.1,24.6,0,0,0,8.4,3.23
25-11-2010,0,28.3,18.4,23.1,29.8,19.9,24.7,0,0,0,8.6,3.31
26-11-2010,3,25.3,20.1,22.5,27.1,22.1,24.7,0,0,0,7.6,1.22
27-11-2010,2,27.5,20,23.6,29.7,22.1,26.1,0,0,0,8.7,2.55
28-11-2010,3,28.4,20.3,23.9,30.4,22.9,26,0,0,0,11.3,3
