time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,et0_fao_evapotranspiration
2010-01-01,2,22.5,11.1,16.6,16.6,0.0,0.0,0.0,6.8,2.54
2010-01-02,0,24.6,10.6,17.4,17.5,0.0,0.0,0.0,8.2,2.83
2010-01-03,1,25.2,11.0,17.7,18.3,0.0,0.0,0.0,6.4,2.87
2010-01-04,1,23.5,10.6,17.1,17.7,0.0,0.0,0.0,6.4,2.67
2010-01-05,1,23.5,10.9,16.8,17.0,0.0,0.0,0.0,7.4,2.66
2010-01-06,1,24.1,10.8,17.3,18.0,0.0,0.0,0.0,5.7,2.73
2010-01-07,1,26.4,11.0,18.6,19.2,0.0,0.0,0.0,7.0,2.89
2010-01-08,0,26.5,11.4,18.5,18.3,0.0,0.0,0.0,7.2,3.02
2010-01-09,0,25.0,11.0,17.7,18.0,0.0,0.0,0.0,6.1,2.88
2010-01-10,0,24.1,10.8,17.2,17.4,0.0,0.0,0.0,5.9,2.86
2010-01-11,2,23.1,11.0,16.8,17.1,0.0,0.0,0.0,6.2,2.74
2010-01-12,2,22.6,10.0,16.4,16.6,0.0,0.0,0.0,5.6,2.67
2010-01-13,2,23.3,9.9,17.3,17.8,0.0,0.0,0.0,5.2,2.74
2010-01-14,1,24.4,12.8,18.4,19.2,0.0,0.0,0.0,7.0,2.66
2010-01-15,1,25.5,11.8,18.1,18.9,0.0,0.0,0.0,7.4,2.86
2010-01-16,2,25.4,11.5,18.3,19.4,0.0,0.0,0.0,6.9,2.95
2010-01-17,1,25.7,12.1,18.9,20.0,0.0,0.0,0.0,6.8,2.98
2010-01-18,2,26.4,12.2,19.3,20.2,0.0,0.0,0.0,6.8,2.95
2010-01-19,1,25.7,13.3,19.1,20.1,0.0,0.0,0.0,6.7,2.7
2010-01-20,0,25.8,13.1,19.3,20.3,0.0,0.0,0.0,7.6,3.06
2010-01-21,1,26.6,12.6,19.3,20.6,0.0,0.0,0.0,7.3,3.09
2010-01-22,1,26.3,12.5,19.0,19.9,0.0,0.0,0.0,6.3,2.97
2010-01-23,0,26.2,11.7,19.0,19.7,0.0,0.0,0.0,4.5,3.1
2010-01-24,1,26.5,11.1,18.7,18.6,0.0,0.0,0.0,8.6,3.24
2010-01-25,1,27.2,11.7,19.2,19.3,0.0,0.0,0.0,7.6,3.13
2010-01-26,0,25.4,11.6,18.2,18.6,0.0,0.0,0.0,5.8,3.16
2010-01-27,0,25.8,11.4,18.4,18.6,0.0,0.0,0.0,8.0,3.21
2010-01-28,1,26.0,11.2,18.4,18.7,0.0,0.0,0.0,7.7,3.23
2010-01-29,0,26.0,11.2,18.4,18.5,0.0,0.0,0.0,6.6,3.34
2010-01-30,0,24.9,11.3,17.8,18.0,0.0,0.0,0.0,7.0,3.19
2010-01-31,0,25.1,10.7,17.8,17.9,0.0,0.0,0.0,7.1,3.18
2010-02-01,1,25.0,10.5,17.4,17.5,0.0,0.0,0.0,6.9,3.26
2010-02-02,0,24.8,10.7,17.3,17.1,0.0,0.0,0.0,7.0,3.35
2010-02-03,0,25.3,10.7,17.4,17.0,0.0,0.0,0.0,8.6,3.51
2010-02-04,1,24.6,10.1,17.1,16.4,0.0,0.0,0.0,6.6,3.45
2010-02-05,0,24.3,10.0,16.7,16.1,0.0,0.0,0.0,7.8,3.48
2010-02-06,0,25.3,10.2,17.7,17.5,0.0,0.0,0.0,7.7,3.46
2010-02-07,0,26.9,11.3,19.2,19.8,0.0,0.0,0.0,7.1,3.53
2010-02-08,1,26.2,12.1,19.2,19.7,0.0,0.0,0.0,5.6,3.48
2010-02-09,1,25.7,12.9,19.7,20.5,0.0,0.0,0.0,6.5,2.95
2010-02-10,1,27.4,13.9,20.8,22.0,0.0,0.0,0.0,8.6,3.32
2010-02-11,1,28.1,14.2,20.8,21.9,0.0,0.0,0.0,7.4,3.7
2010-02-12,1,28.0,13.8,20.5,21.3,0.0,0.0,0.0,8.3,3.76
2010-02-13,1,27.3,14.1,20.9,21.7,0.0,0.0,0.0,10.5,3.38
2010-02-14,0,28.0,14.3,21.6,22.2,0.0,0.0,0.0,13.4,3.96
2010-02-15,0,28.4,13.9,20.8,20.7,0.0,0.0,0.0,10.6,4.12
2010-02-16,51,28.5,13.7,22.0,22.7,0.1,0.1,1.0,9.8,3.6
2010-02-17,53,28.8,17.3,22.2,24.3,2.7,2.7,5.0,9.7,3.45
2010-02-18,2,27.1,11.9,19.8,19.6,0.0,0.0,0.0,12.5,3.92
2010-02-19,1,26.5,11.8,18.8,18.5,0.0,0.0,0.0,8.2,3.97
2010-02-20,0,26.9,12.5,19.7,20.0,0.0,0.0,0.0,9.7,3.9
2010-02-21,1,27.0,13.0,20.0,20.3,0.0,0.0,0.0,6.7,3.81
2010-02-22,1,27.7,13.9,21.0,21.6,0.0,0.0,0.0,6.7,3.8
2010-02-23,1,27.5,15.3,21.0,21.8,0.0,0.0,0.0,8.2,3.57
